"Domain";"Status";"abgerechnet bis";"Handle Holder";"Handle Holder 2";"Handle Holder 3";"Handle Holder 4";"Handle Holder 5";"Handle Admin-c";"Handle Tech-c";"Handle Zone-c";"1. Nameserver";"2. Nameserver";"3. Nameserver";"4. Nameserver";"5. Nameserver"
"bundesgeschaeftsstelle.de";"fertig";"15.10.14";"DENIC-168-robot-158877";"";"";"";"";"DENIC-168-robot-179383";"DENIC-168-robot-179383";"DENIC-168-robot-179383";"ns1.first-ns.de";"robotns2.second-ns.de";"robotns3.second-ns.com";"";""
"hafennutten.de";"fertig";"30.05.15";"DENIC-168-robot-158877";"";"";"";"";"DENIC-168-robot-158878";"DENIC-168-robot-158878";"DENIC-168-robot-158878";"ns1.afraid.org";"ns2.afraid.org";"ns3.afraid.org";"ns4.afraid.org";""
"keinzelfall.de";"fertig";"18.05.15";"DENIC-168-robot-158877";"";"";"";"";"DENIC-168-robot-179383";"DENIC-168-robot-179383";"DENIC-168-robot-179383";"ns1.first-ns.de";"robotns2.second-ns.de";"robotns3.second-ns.com";"";""
"landesgeschaeftsstelle.de";"fertig";"15.10.14";"DENIC-168-robot-158877";"";"";"";"";"DENIC-168-robot-179383";"DENIC-168-robot-179383";"DENIC-168-robot-179383";"ns1.first-ns.de";"robotns2.second-ns.de";"robotns3.second-ns.com";"";""
"lqpp.de";"fertig";"19.01.15";"DENIC-168-robot-158877";"";"";"";"";"DENIC-168-robot-158878";"DENIC-168-robot-158878";"DENIC-168-robot-158878";"ns1.first-ns.de";"robotns2.second-ns.de";"robotns3.second-ns.com";"";""
"piratech.de";"fertig";"23.10.14";"DENIC-168-robot-158877";"";"";"";"";"DENIC-168-robot-158878";"DENIC-168-robot-158878";"DENIC-168-robot-158878";"ns1.first-ns.de";"robotns2.second-ns.de";"robotns3.second-ns.com";"";""
"piraten-friedrichshain-kreuzberg.de";"fertig";"29.05.15";"DENIC-168-robot-158877";"";"";"";"";"DENIC-168-robot-158878";"DENIC-168-robot-158878";"DENIC-168-robot-158878";"ns1.first-ns.de";"robotns2.second-ns.de";"robotns3.second-ns.com";"";""
"piraten-marzahn-hellersdorf.de";"fertig";"29.05.15";"DENIC-168-robot-158877";"";"";"";"";"DENIC-168-robot-158878";"DENIC-168-robot-158878";"DENIC-168-robot-158878";"ns1.first-ns.de";"robotns2.second-ns.de";"robotns3.second-ns.com";"";""
"piraten-mitte.de";"fertig";"28.05.15";"DENIC-168-robot-158877";"";"";"";"";"DENIC-168-robot-158878";"DENIC-168-robot-158878";"DENIC-168-robot-158878";"ns1.first-ns.de";"robotns2.second-ns.de";"robotns3.second-ns.com";"";""
"piraten-neukoelln.de";"fertig";"29.05.15";"DENIC-168-robot-158877";"";"";"";"";"DENIC-168-robot-158878";"DENIC-168-robot-158878";"DENIC-168-robot-158878";"ns1.first-ns.de";"robotns2.second-ns.de";"robotns3.second-ns.com";"";""
"piraten-spandau.de";"fertig";"29.05.15";"DENIC-168-robot-158877";"";"";"";"";"DENIC-168-robot-158878";"DENIC-168-robot-158878";"DENIC-168-robot-158878";"ns1.first-ns.de";"robotns2.second-ns.de";"robotns3.second-ns.com";"";""
